# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	-3.64188824e-05	7.15501664e-04	-3.51383216e-06	-3.81757985e-05	3.46619664e-05
10              	7.15181146e-05	6.27930090e-05	2.96145231e-04	2.19590730e-04	7.65545010e-05
20              	7.10601648e-05	3.04429358e-05	3.08079348e-04	2.25099839e-04	8.29795091e-05
30              	7.07801647e-05	2.15762490e-05	3.06220259e-04	2.23890294e-04	8.23299647e-05
40              	7.43600388e-05	1.74576283e-05	3.12431072e-04	2.30575575e-04	8.18554974e-05
50              	7.48503291e-05	1.45765959e-05	3.11502675e-04	2.30601667e-04	8.09010083e-05
60              	7.32676285e-05	1.22948430e-05	3.08241298e-04	2.27388277e-04	8.08530203e-05
70              	7.24672742e-05	1.16515074e-05	3.07082101e-04	2.26008325e-04	8.10737763e-05
80              	7.35001269e-05	1.26717240e-05	3.08980478e-04	2.27990366e-04	8.09901120e-05
90              	7.34768538e-05	1.36850003e-05	3.09212437e-04	2.28083072e-04	8.11293646e-05
100             	7.29632830e-05	1.43891644e-05	3.08535579e-04	2.27231073e-04	8.13045065e-05
110             	7.30793995e-05	1.49690230e-05	3.08713267e-04	2.27436033e-04	8.12772341e-05
120             	7.34215460e-05	1.53886583e-05	3.09199728e-04	2.28021410e-04	8.11783180e-05
130             	7.36723019e-05	1.56513488e-05	3.09520814e-04	2.28432709e-04	8.10881050e-05
140             	7.38020785e-05	1.57943529e-05	3.09617652e-04	2.28610904e-04	8.10067475e-05
150             	7.38683715e-05	1.58556825e-05	3.09580677e-04	2.28658710e-04	8.09219671e-05
160             	7.39085367e-05	1.58625552e-05	3.09485108e-04	2.28651091e-04	8.08340173e-05
170             	7.39475105e-05	1.58300683e-05	3.09382070e-04	2.28638545e-04	8.07435244e-05
180             	7.39869917e-05	1.57645152e-05	3.09280136e-04	2.28627060e-04	8.06530764e-05
190             	7.40285846e-05	1.56753158e-05	3.09185229e-04	2.28621199e-04	8.05640301e-05
